[INFO] [launch]: All log files can be found below /home/pro/.ros/log/2024-05-19-18-50-22-197273-pro-54144
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [joy_node-1]: process started with pid [54169]
[INFO] [teleop_node-2]: process started with pid [54171]
[INFO] [driver-3]: process started with pid [54173]
[INFO] [sonar_array-4]: process started with pid [54175]
[INFO] [obstacle_avoid_sonar-5]: process started with pid [54178]
[teleop_node-2] [INFO] [1716144622.714749759] [TeleopTwistJoy]: Teleop enable button 5.
[teleop_node-2] [INFO] [1716144622.714966915] [TeleopTwistJoy]: Linear axis x on 1 at scale 1.000000.
[teleop_node-2] [INFO] [1716144622.715013028] [TeleopTwistJoy]: Angular axis yaw on 0 at scale 1.000000.
[joy_node-1] [INFO] [1716144623.194796098] [joy]: Opened joystick: Logitech Gamepad F710.  deadzone: 0.050000
[obstacle_avoid_sonar-5] [INFO] [1716144637.948563106] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144637.952682147] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144637.968158051] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.004167210] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.008079391] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.018447791] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.050155308] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.054162011] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.069159563] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.104242149] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.108738147] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.122606953] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.150643706] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.155287951] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.177299575] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.210312029] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.214453848] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.225783376] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.69m, C:0.66m, R:1.27m
[obstacle_avoid_sonar-5] [INFO] [1716144638.253317277] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.90m, C:0.61m, R:1.24m
[obstacle_avoid_sonar-5] [INFO] [1716144638.257206772] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.90m, C:0.61m, R:1.24m
[obstacle_avoid_sonar-5] [INFO] [1716144638.274651635] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.90m, C:0.61m, R:1.24m
