[INFO] [launch]: All log files can be found below /home/pro/.ros/log/2024-05-19-19-16-50-328228-pro-60523
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [joy_node-1]: process started with pid [60548]
[INFO] [teleop_node-2]: process started with pid [60550]
[INFO] [driver-3]: process started with pid [60552]
[INFO] [sonar_array-4]: process started with pid [60554]
[INFO] [obstacle_avoid_sonar-5]: process started with pid [60564]
[teleop_node-2] [INFO] [1716146211.141790621] [TeleopTwistJoy]: Teleop enable button 5.
[teleop_node-2] [INFO] [1716146211.141997945] [TeleopTwistJoy]: Linear axis x on 1 at scale 1.000000.
[teleop_node-2] [INFO] [1716146211.142034036] [TeleopTwistJoy]: Angular axis yaw on 0 at scale 1.000000.
[joy_node-1] [INFO] [1716146211.286629385] [joy]: Opened joystick: Logitech Gamepad F710.  deadzone: 0.050000
[obstacle_avoid_sonar-5] [INFO] [1716146243.573192574] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.592151333] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.601233101] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.619197033] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.628024312] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.646771969] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.655808016] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.676193897] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.686085962] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.735592915] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.755523020] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.764868498] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.783444237] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.792947708] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.812889628] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.821261278] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.838288918] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.847000702] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.93m, C:1.18m, R:2.32m
[obstacle_avoid_sonar-5] [INFO] [1716146243.866686244] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.93m, C:1.18m, R:2.32m
