[INFO] [launch]: All log files can be found below /home/pro/.ros/log/2024-05-19-21-28-55-643919-pro-64896
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [joy_node-1]: process started with pid [64921]
[INFO] [teleop_node-2]: process started with pid [64923]
[INFO] [driver-3]: process started with pid [64925]
[INFO] [sonar_array-4]: process started with pid [64927]
[INFO] [obstacle_avoid_sonar-5]: process started with pid [64929]
[teleop_node-2] [INFO] [1716154136.136795925] [TeleopTwistJoy]: Teleop enable button 5.
[teleop_node-2] [INFO] [1716154136.136988978] [TeleopTwistJoy]: Linear axis x on 1 at scale 1.000000.
[teleop_node-2] [INFO] [1716154136.137029719] [TeleopTwistJoy]: Angular axis yaw on 0 at scale 1.000000.
[joy_node-1] [INFO] [1716154136.578768331] [joy]: Opened joystick: Logitech Gamepad F710.  deadzone: 0.050000
[obstacle_avoid_sonar-5] [INFO] [1716154150.599151872] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.65m, C:1.74m, R:1.03m
[obstacle_avoid_sonar-5] [INFO] [1716154150.603102109] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.65m, C:1.74m, R:1.03m
[obstacle_avoid_sonar-5] [INFO] [1716154150.613976997] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.72m, C:1.74m, R:1.03m
[obstacle_avoid_sonar-5] [INFO] [1716154150.646054185] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.650173921] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.665379875] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.703724166] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.740396436] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.748627481] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.759390389] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.793137134] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.801165236] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.813888254] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.857816079] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.894785087] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.899419595] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.916088590] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.953082635] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.957083242] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.967098250] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.993555997] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154150.997773231] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154151.012999167] [obst_avoid_node]: AVOIDING: Object detected on the LEFT. Ranges: L:0.72m, C:1.74m, R:0.82m
[obstacle_avoid_sonar-5] [INFO] [1716154151.053891746] [obst_avoid_node]: MOVING FORWARD: Turn complete or path clear. Ranges: L:0.72m, C:1.74m, R:0.82m
